N, Insertion, Merge, Hybrid
5, 0.000732, 0.005317, 0.000691
15, 0.001418, 0.018234, 0.001243
25, 0.002275, 0.03357, 0.005578
35, 0.003525, 0.047547, 0.007422
45, 0.005141, 0.063416, 0.015167
55, 0.00708, 0.074552, 0.017362
65, 0.009339, 0.086966, 0.020955
75, 0.012182, 0.110317, 0.02446
85, 0.015272, 0.129872, 0.038801
95, 0.018306, 0.140412, 0.041068
105, 0.022205, 0.15288, 0.044276
115, 0.026424, 0.165654, 0.048351
125, 0.030806, 0.175746, 0.051967
135, 0.03895, 0.233457, 0.068761
145, 0.041864, 0.237444, 0.068215
155, 0.046586, 0.249977, 0.077338
165, 0.051732, 0.256546, 0.091019
175, 0.057828, 0.271776, 0.094985
185, 0.064361, 0.283467, 0.098214
195, 0.071202, 0.300555, 0.10357
205, 0.078531, 0.313673, 0.107355
215, 0.084896, 0.317592, 0.110015
225, 0.092986, 0.328033, 0.114192
235, 0.102949, 0.349863, 0.122264
245, 0.110383, 0.354757, 0.125617
255, 0.118618, 0.361429, 0.129504
265, 0.128587, 0.412861, 0.149958
275, 0.139149, 0.438201, 0.15527
285, 0.149365, 0.465462, 0.160983
295, 0.158883, 0.477677, 0.16468
305, 0.169925, 0.49946, 0.17324
315, 0.178691, 0.508659, 0.19541
325, 0.195146, 0.545978, 0.21878
335, 0.205487, 0.557701, 0.222177
345, 0.215115, 0.561777, 0.223653
355, 0.22833, 0.574124, 0.228594
365, 0.239968, 0.588684, 0.232711
375, 0.253581, 0.604803, 0.2382
385, 0.266884, 0.621282, 0.243106
395, 0.283008, 0.645275, 0.252558
405, 0.301716, 0.674517, 0.264839
415, 0.314267, 0.676497, 0.266939
425, 0.329698, 0.692878, 0.275103
435, 0.341514, 0.684584, 0.27393
445, 0.355603, 0.688734, 0.278031
455, 0.374103, 0.712552, 0.286096
465, 0.383473, 0.698374, 0.283419
475, 0.402861, 0.718805, 0.29455
485, 0.417267, 0.726511, 0.298182
495, 0.438094, 0.748494, 0.307628
505, 0.454827, 0.752332, 0.311808
515, 0.468433, 0.776439, 0.330354
525, 0.489269, 0.824255, 0.350706
535, 0.506421, 0.85201, 0.3599
545, 0.527059, 0.886498, 0.369059
555, 0.546249, 0.907155, 0.374461
565, 0.56627, 0.934644, 0.380492
575, 0.584588, 0.95096, 0.387092
585, 0.639711, 1.07079, 0.427384
595, 0.652546, 1.06443, 0.425062
605, 0.677533, 1.09547, 0.436571
615, 0.7153, 1.14966, 0.46851
625, 0.703622, 1.08884, 0.462641
635, 0.720524, 1.09349, 0.479387
645, 0.747329, 1.11958, 0.496589
655, 0.763756, 1.12484, 0.496012
665, 0.787189, 1.13354, 0.499916
675, 0.803886, 1.14528, 0.503029
685, 0.826692, 1.15001, 0.505402
695, 0.848997, 1.15241, 0.51195
