N, Multimap_tree_based, unordered_multimap_hash_table
10, 5.3e-05, 6.7e-05
110, 0.000527, 0.000543
210, 0.001068, 0.001026
310, 0.001727, 0.001604
410, 0.002099, 0.001991
510, 0.002794, 0.002468
610, 0.003066, 0.002679
710, 0.003764, 0.003518
810, 0.004913, 0.005012
910, 0.00583, 0.004531
1010, 0.008176, 0.007347
1110, 0.009748, 0.008683
1210, 0.007833, 0.006262
1310, 0.007557, 0.006102
1410, 0.008086, 0.006491
1510, 0.008481, 0.006788
1610, 0.009052, 0.008147
1710, 0.009576, 0.00826
1810, 0.010293, 0.008704
1910, 0.010555, 0.009112
2010, 0.010957, 0.009564
2110, 0.011623, 0.010063
2210, 0.012251, 0.010538
2310, 0.012864, 0.01073
2410, 0.013352, 0.011574
2510, 0.013936, 0.011952
2610, 0.014482, 0.01259
2710, 0.016286, 0.013078
2810, 0.015679, 0.013302
2910, 0.016077, 0.013954
3010, 0.016926, 0.014142
3110, 0.017443, 0.014607
3210, 0.018071, 0.016114
3310, 0.01832, 0.016617
3410, 0.019061, 0.017092
3510, 0.019667, 0.017647
3610, 0.020152, 0.018132
3710, 0.021102, 0.018554
3810, 0.021349, 0.019186
3910, 0.021975, 0.019671
4010, 0.02243, 0.020395
4110, 0.022939, 0.020885
4210, 0.027318, 0.027367
4310, 0.025396, 0.022645
4410, 0.02498, 0.022686
4510, 0.02537, 0.023434
4610, 0.025668, 0.023785
4710, 0.026621, 0.024104
4810, 0.026836, 0.025111
4910, 0.027628, 0.025854
5010, 0.028108, 0.026319
5110, 0.028904, 0.02655
5210, 0.029587, 0.027251
5310, 0.031395, 0.027689
5410, 0.030631, 0.028589
5510, 0.031012, 0.029027
5610, 0.031633, 0.030453
5710, 0.032391, 0.030678
5810, 0.033423, 0.031032
5910, 0.033744, 0.031468
6010, 0.033882, 0.032443
6110, 0.034724, 0.033205
6210, 0.035438, 0.033231
6310, 0.036393, 0.034135
6410, 0.036491, 0.035028
6510, 0.039873, 0.040244
6610, 0.037898, 0.037375
6710, 0.038575, 0.037935
6810, 0.039022, 0.038433
6910, 0.039924, 0.038981
7010, 0.045051, 0.045041
7110, 0.045683, 0.045905
7210, 0.042229, 0.040949
7310, 0.044039, 0.043234
7410, 0.043584, 0.043629
7510, 0.043702, 0.043291
7610, 0.044748, 0.043508
7710, 0.044865, 0.045096
7810, 0.047906, 0.047523
7910, 0.046146, 0.046015
8010, 0.04679, 0.047057
8110, 0.0473, 0.048176
8210, 0.047844, 0.04814
8310, 0.052277, 0.0556
8410, 0.05122, 0.052086
8510, 0.05063, 0.050066
8610, 0.050555, 0.05175
8710, 0.053229, 0.05495
8810, 0.053015, 0.055131
8910, 0.05399, 0.05584
9010, 0.055582, 0.056912
9110, 0.054619, 0.055947
9210, 0.054188, 0.056115
9310, 0.086943, 0.089049
9410, 0.107428, 0.127881
9510, 0.08889, 0.093404
9610, 0.065638, 0.067747
9710, 0.071754, 0.068708
9810, 0.075282, 0.071634
9910, 0.069697, 0.072361
10010, 0.069888, 0.070751
10110, 0.06659, 0.068101
10210, 0.06241, 0.066235
10310, 0.06478, 0.068628
10410, 0.064343, 0.067152
10510, 0.064757, 0.069761
10610, 0.069406, 0.07467
10710, 0.083186, 0.09361
10810, 0.073105, 0.079148
10910, 0.070346, 0.074829
11010, 0.0667, 0.071398
11110, 0.067898, 0.072888
11210, 0.070189, 0.076166
11310, 0.075842, 0.080166
11410, 0.069207, 0.074821
11510, 0.073056, 0.078393
11610, 0.082777, 0.09028
11710, 0.079767, 0.085635
11810, 0.074114, 0.081488
11910, 0.07284, 0.080864
12010, 0.072344, 0.0806
12110, 0.073561, 0.083126
12210, 0.093812, 0.106612
12310, 0.083673, 0.09479
12410, 0.077174, 0.086936
12510, 0.077881, 0.086169
12610, 0.080286, 0.0888
12710, 0.078512, 0.089225
12810, 0.076535, 0.087635
12910, 0.077514, 0.091258
13010, 0.084166, 0.095911
13110, 0.07994, 0.094132
13210, 0.080072, 0.093151
13310, 0.086121, 0.102822
13410, 0.087141, 0.102744
13510, 0.086042, 0.102309
13610, 0.081618, 0.097922
13710, 0.083982, 0.09972
13810, 0.101321, 0.125327
13910, 0.0983, 0.118238
14010, 0.095897, 0.115412
14110, 0.089643, 0.105433
14210, 0.085891, 0.106974
14310, 0.094584, 0.120935
14410, 0.089887, 0.109343
14510, 0.104077, 0.129685
14610, 0.089414, 0.110872
14710, 0.088373, 0.109719
14810, 0.090054, 0.109945
14910, 0.093255, 0.114417
15010, 0.106626, 0.13436
15110, 0.097007, 0.121663
15210, 0.094695, 0.116702
15310, 0.09242, 0.116552
15410, 0.094957, 0.120976
15510, 0.101418, 0.125463
15610, 0.099455, 0.125334
15710, 0.101401, 0.131148
15810, 0.097214, 0.122056
15910, 0.097912, 0.122076
16010, 0.099209, 0.125258
16110, 0.100999, 0.126839
16210, 0.105506, 0.135707
16310, 0.110611, 0.135729
16410, 0.106206, 0.134196
16510, 0.103995, 0.132436
16610, 0.104713, 0.139217
16710, 0.105563, 0.137452
16810, 0.110235, 0.141351
16910, 0.107068, 0.139853
17010, 0.113574, 0.148545
17110, 0.113518, 0.145365
17210, 0.123773, 0.148446
17310, 0.116601, 0.146236
17410, 0.117239, 0.151424
17510, 0.116842, 0.151087
17610, 0.109304, 0.143881
17710, 0.107968, 0.142554
17810, 0.119143, 0.165356
17910, 0.110262, 0.146944
18010, 0.125895, 0.162299
18110, 0.12542, 0.166197
18210, 0.111588, 0.148833
18310, 0.116161, 0.15738
18410, 0.127418, 0.165756
18510, 0.120433, 0.160357
18610, 0.121433, 0.162868
18710, 0.129054, 0.166649
18810, 0.123112, 0.166472
18910, 0.120401, 0.162404
19010, 0.118308, 0.165474
19110, 0.125198, 0.170912
19210, 0.124347, 0.172275
19310, 0.122375, 0.166933
19410, 0.130775, 0.176224
19510, 0.129581, 0.174582
19610, 0.12572, 0.171715
19710, 0.127766, 0.178988
19810, 0.13195, 0.182338
19910, 0.141043, 0.208058
20010, 0.124157, 0.17606
20110, 0.125598, 0.176016
20210, 0.140215, 0.192232
20310, 0.139289, 0.18862
20410, 0.12732, 0.177767
20510, 0.139087, 0.186567
20610, 0.133185, 0.18648
20710, 0.129053, 0.191276
20810, 0.135359, 0.189947
20910, 0.134879, 0.190265
21010, 0.135665, 0.195266
21110, 0.133299, 0.19082
21210, 0.165705, 0.250351
21310, 0.144992, 0.220194
